
[asn.txt]                                        2008-12-14 03:45:01Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.  
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates 
on this information please contact the ARIN Registration Services Hostmaster 
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 0                       IANA-RSVD-0                                        IANA-IP-ARIN (Abuse)
 1                       LVLT-1                                             APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 2                       DCN-AS                                             DLM31-ARIN (Tech)
 3                       MIT-GATEWAYS                                       RH164-ARIN (Tech), JIS-ARIN (Tech)
 4                       ISI-AS                                             JKR1-ARIN (Tech), ACT-ORG-ARIN (Abuse)
 5                       SYMBOLICS                                          SG52-ARIN (Tech)
 6                       BULL-HN                                            JLM23-ARIN (Tech), ZB126-ARIN (Tech)
 7                       RIPE-ASNBLOCK-7                                    
 8                       RICE-AS                                            RUH-ORG-ARIN (Tech)
 9                       CMU-ROUTER                                         CH4-ORG-ARIN (Tech), CMA3-ARIN (Abuse)
 10                      CSNET-EXT-AS                                       CS15-ARIN (Tech)
 11                      HARVARD                                            JT929-ARIN (Tech), LD238-ARIN (Tech), PMC277-ARIN (Tech)
 12                      NYU-DOMAIN                                         ZN68-ARIN (Tech), TSSI-ARIN (Abuse), COSI-ARIN (Tech)
 13                      BRL-AS                                             MIL-HSTMST-ARIN (Tech)
 14                      COLUMBIA-GW                                        ZC26-ARIN (Tech), CUAC-ARIN (Abuse), CU-NOC-ARIN (Tech)
 15                      NET-DYNAMICS-EXP                                   ZSU-ARIN (Tech)
 16                      LBL                                                CAL3-ARIN (Tech), UCB-NOC-ARIN (Tech)
 17                      PURDUE                                             PUISP-ARIN (Abuse), PURDU-ARIN (Tech)
 18                      UTEXAS                                             ZU83-ARIN (Tech)
 19                      CSS-DOMAIN                                         CR11-ARIN (Tech), PEP4-ARIN (Tech)
 20                      UR                                                 MS1783-ARIN (Tech), URAC1-ARIN (Abuse), URTC-ARIN (Tech)
 21                      RAND                                               ZT72-ARIN (Tech)
 22                      NOSC                                               RLB3-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 23                      NISN-SIP-AS                                        NISN-ARIN (Tech), NASAA-ARIN (Abuse), RFBJ-ARIN (Tech)
 24                      AMES-NAS-GW                                        MT2149-ARIN (Tech), NASAA-ARIN (Abuse), RFBJ-ARIN (Tech)
 25                      UCB                                                UCB-NOC-ARIN (Tech)
 26                      CORNELL                                            DEC12-ARIN (Tech)
 27                      UMDNET                                             UM-ORG-ARIN (Tech)
 28                      RIPE-ASNBLOCK-28                                   
 29                      YALE-AS                                            HML1-ARIN (Tech), JP218-ARIN (Tech)
 30                      SRI-AICNET                                         WMT-ARIN (Tech)
 31                      CIT                                                CI2-ORG-ARIN (Tech)
 32                      STANFORD                                           RR959-ARIN (Tech)
 33                      HP-DIGITAL-33                                      HH15-ORG-ARIN (Tech)
 34                      UDELNET                                            DJG2-ARIN (Tech), DLM31-ARIN (Tech)
 35                      MITRE-AS-1                                         RS1914-ARIN (Abuse)
 36                      EGP-TESTOR                                         PEM4-ARIN (Tech), LS732-ARIN (Tech)
 37                      NSWC                                               JACKI1-ARIN (Tech)
 38                      UIUC                                               CK185-ARIN (Tech)
 39                      NRL-ITD                                            MIL-HSTMST-ARIN (Tech)
 40                      MIT-TEST                                           ZM80-ARIN (Tech), JIS-ARIN (Tech)
 41                      AMES                                               NNO2-ARIN (Tech), NNOC5-ARIN (Tech)
 42                      WOODYNET-1                                         BW1324-ARIN (Tech)
 43                      BNL-AS                                             ZB89-ARIN (Tech), JB3159-ARIN (Abuse)
 44                      S1-DOMAIN                                          RAK12-ARIN (Tech)
 45                      LLL-TIS-AS                                         DO91-ARIN (Tech)
 46                      RUTGERS                                            RU-ORG-ARIN (Tech)
 47                      USC-AS                                             UNA2-ARIN (Tech)
 48                      NRL-AS                                             MD51-ARIN (Tech)
 49                      ICST-AS                                            CWH3-ARIN (Tech)
 50                      ORNL-MSRNET                                        SH1294-ARIN (Tech), NM5-ORG-ARIN (Tech)
 51                      USAREUR-EM-AS                                      BETHA2-ARIN (Tech)
 52                      UCLA                                               UNO4-ARIN (Tech), UBO-ARIN (Abuse), NO102-ORG-ARIN (Tech)
 53                      NORTHROP-AS                                        DEC3-ARIN (Tech)
 54                      COA-FIN-NET-AS                                     BETHA2-ARIN (Tech)
 55                      UPENN-CIS                                          GM229-ARIN (Tech), ISO-ARIN (Abuse), MW274-ARIN (Tech)
 56                      OPTIMIS-P                                          GPL1-ARIN (Tech)
 57                      UMN-REI-UC                                         TPB3-ARIN (Tech), UOSA-ARIN (Abuse), NTA-ORG-ARIN (Tech)
